"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","5.0"
"Velocity","Throughput(Cards Count)","2"
"Cycle time","Average cycle time(days/storyPoint)","1.6"
"Cycle time","Average cycle time(days/card)","3.99"
"Cycle time","Total development time / Total cycle time(%)","62.53"
"Cycle time","Total review time / Total cycle time(%)","0"
"Cycle time","Total waiting for testing time / Total cycle time(%)","0.38"
"Cycle time","Total testing time / Total cycle time(%)","37.09"
"Cycle time","Average development time(days/storyPoint)","1.00"
"Cycle time","Average development time(days/card)","2.50"
"Cycle time","Average review time(days/storyPoint)","0"
"Cycle time","Average review time(days/card)","0"
"Cycle time","Average waiting for testing time(days/storyPoint)","0.01"
"Cycle time","Average waiting for testing time(days/card)","0.02"
"Cycle time","Average testing time(days/storyPoint)","0.59"
"Cycle time","Average testing time(days/card)","1.48"
"Classifications","Issue Type / Spike(Value/Cards count%)","50.00"
"Classifications","Issue Type / Spike(Value/Story point%)","40.00"
"Classifications","Issue Type / Story(Value/Cards count%)","50.00"
"Classifications","Issue Type / Story(Value/Story point%)","60.00"
"Classifications","Parent / ADM-1002(Value/Cards count%)","100.00"
"Classifications","Parent / ADM-1002(Value/Story point%)","100.00"
"Classifications","Story testing-2 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-2 / None(Value/Story point%)","100.00"
"Classifications","Story testing-1 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-1 / None(Value/Story point%)","100.00"
"Classifications","Design / None(Value/Cards count%)","100.00"
"Classifications","Design / None(Value/Story point%)","100.00"
"Classifications","Vulnerability / None(Value/Cards count%)","100.00"
"Classifications","Vulnerability / None(Value/Story point%)","100.00"
"Classifications","Sprint / Sprint 43(Value/Cards count%)","100.00"
"Classifications","Sprint / Sprint 43(Value/Story point%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Cards count%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Story point%)","100.00"
"Classifications","Flagged / None(Value/Cards count%)","100.00"
"Classifications","Flagged / None(Value/Story point%)","100.00"
"Classifications","Fix versions / None(Value/Cards count%)","100.00"
"Classifications","Fix versions / None(Value/Story point%)","100.00"
"Classifications","Priority / High(Value/Cards count%)","100.00"
"Classifications","Priority / High(Value/Story point%)","100.00"
"Classifications","Partner / None(Value/Cards count%)","100.00"
"Classifications","Partner / None(Value/Story point%)","100.00"
"Classifications","Labels / None(Value/Cards count%)","100.00"
"Classifications","Labels / None(Value/Story point%)","100.00"
"Classifications","Time tracking / None(Value/Cards count%)","100.00"
"Classifications","Time tracking / None(Value/Story point%)","100.00"
"Classifications","Story point estimate / 2.0(Value/Cards count%)","50.00"
"Classifications","Story point estimate / 2.0(Value/Story point%)","40.00"
"Classifications","Story point estimate / 3.0(Value/Cards count%)","50.00"
"Classifications","Story point estimate / 3.0(Value/Story point%)","60.00"
"Classifications","QA / None(Value/Cards count%)","100.00"
"Classifications","QA / None(Value/Story point%)","100.00"
"Classifications","Feature/Operation / None(Value/Cards count%)","100.00"
"Classifications","Feature/Operation / None(Value/Story point%)","100.00"
"Classifications","Assignee / YinYuan Zhou(Value/Cards count%)","100.00"
"Classifications","Assignee / YinYuan Zhou(Value/Story point%)","100.00"
"Rework","Total rework times","0"
"Rework","Total rework cards","0"
"Rework","Rework cards ratio(Total rework cards/Throughput%)","0"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","0.17"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployment times)","1"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","0.12"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.40"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","0.52"
"Pipeline change failure rate","Heartbeat / Deploy prod / Pipeline change failure rate(%)","0"
"Pipeline mean time to recovery","Heartbeat / Deploy prod / Pipeline mean time to recovery","0"
