"Organization","Pipeline Name","Repo Name","Pipeline Step","Valid","Build Number","Pull Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4185","1579","zhou-yinyuan",,"2024-08-16T09:34:03Z","2024-08-16T09:34:35Z","2024-08-16T09:42:39Z",,"2024-08-16T10:05:48Z","2024-08-16T09:42:39Z","2024-08-16T10:06:16.456Z","0","0:32:13","0:8:36","0:23:37","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4183","1578","zhou-yinyuan",,"2024-08-16T09:11:02Z","2024-08-16T09:11:32Z","2024-08-16T09:16:37Z",,"2024-08-16T09:40:33Z","2024-08-16T09:16:37Z","2024-08-16T09:41:01.451Z","0","0:29:59","0:5:35","0:24:24","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4181","1577","zhou-yinyuan","heartbeat-user","2024-08-15T07:40:45Z","2024-08-15T07:41:18Z","2024-08-16T03:27:54Z",,"2024-08-16T03:50:27Z","2024-08-16T03:27:54Z","2024-08-16T03:50:58.880Z","0","20:10:13","19:47:9","0:23:4","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Run e2e","false","4175",,"guzhongren",,,,,,,,"2024-08-15T00:54:47.563Z","0",,,,"passed","main",""
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4173","1576","zhou-yinyuan",,"2024-08-14T07:07:54Z","2024-08-14T09:21:18Z","2024-08-14T09:29:12Z",,"2024-08-14T09:52:23Z","2024-08-14T09:29:12Z","2024-08-14T09:52:49.797Z","0","2:44:55","2:21:18","0:23:37","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4170","1575","zhou-yinyuan",,"2024-08-14T07:07:54Z","2024-08-14T07:08:40Z","2024-08-14T07:13:45Z",,"2024-08-14T07:37:14Z","2024-08-14T07:13:45Z","2024-08-14T07:37:42.686Z","0","0:29:48","0:5:51","0:23:57","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4168","1574","zhou-yinyuan",,"2024-08-14T02:18:08Z","2024-08-14T02:18:46Z","2024-08-14T02:25:41Z",,"2024-08-14T02:51:00Z","2024-08-14T02:25:41Z","2024-08-14T02:51:29.410Z","0","0:33:21","0:7:33","0:25:48","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4165","1573","zhou-yinyuan",,"2024-08-12T02:58:15Z","2024-08-13T06:09:53Z","2024-08-13T07:00:49Z",,"2024-08-13T07:28:33Z","2024-08-13T07:00:49Z","2024-08-13T07:29:05.011Z","0","28:30:50","28:2:34","0:28:16","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4162","1572","zhou-yinyuan",,"2024-08-12T02:58:15Z","2024-08-12T02:59:01Z","2024-08-13T05:56:53Z",,"2024-08-13T06:24:55Z","2024-08-13T05:56:53Z","2024-08-13T06:25:32.138Z","0","27:27:17","26:58:38","0:28:39","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4153","1571","zhou-yinyuan",,"2024-08-09T03:54:06Z","2024-08-09T07:16:19Z","2024-08-12T01:08:39Z",,"2024-08-12T01:36:41Z","2024-08-12T01:08:39Z","2024-08-12T01:37:13.163Z","48","21:43:7","21:14:33","0:28:34","passed","main","false"
