"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","1.0"
"Velocity","Throughput(Cards Count)","1"
"Cycle time","Average cycle time(days/storyPoint)","12.52"
"Cycle time","Average cycle time(days/card)","12.52"
"Cycle time","Total design time / Total cycle time(%)","84.19"
"Cycle time","Total development time / Total cycle time(%)","10.46"
"Cycle time","Total review time / Total cycle time(%)","0"
"Cycle time","Total testing time / Total cycle time(%)","0.16"
"Cycle time","Total waiting for deployment time / Total cycle time(%)","5.19"
"Cycle time","Average design time(days/storyPoint)","10.54"
"Cycle time","Average design time(days/card)","10.54"
"Cycle time","Average development time(days/storyPoint)","1.31"
"Cycle time","Average development time(days/card)","1.31"
"Cycle time","Average review time(days/storyPoint)","0"
"Cycle time","Average review time(days/card)","0"
"Cycle time","Average testing time(days/storyPoint)","0.02"
"Cycle time","Average testing time(days/card)","0.02"
"Cycle time","Average waiting for deployment time(days/storyPoint)","0.65"
"Cycle time","Average waiting for deployment time(days/card)","0.65"
"Classifications","Issue Type / Story(Value/Cards count%)","100.00"
"Classifications","Issue Type / Story(Value/Story point%)","100.00"
"Classifications","Parent / ADM-322(Value/Cards count%)","100.00"
"Classifications","Parent / ADM-322(Value/Story point%)","100.00"
"Classifications","Story testing-2 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-2 / None(Value/Story point%)","100.00"
"Classifications","Story testing-1 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-1 / None(Value/Story point%)","100.00"
"Classifications","Design / None(Value/Cards count%)","100.00"
"Classifications","Design / None(Value/Story point%)","100.00"
"Classifications","Vulnerability / None(Value/Cards count%)","100.00"
"Classifications","Vulnerability / None(Value/Story point%)","100.00"
"Classifications","Sprint / Sprint42(Value/Cards count%)","100.00"
"Classifications","Sprint / Sprint42(Value/Story point%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Cards count%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Story point%)","100.00"
"Classifications","Flagged / None(Value/Cards count%)","100.00"
"Classifications","Flagged / None(Value/Story point%)","100.00"
"Classifications","Fix versions / None(Value/Cards count%)","100.00"
"Classifications","Fix versions / None(Value/Story point%)","100.00"
"Classifications","Priority / Medium(Value/Cards count%)","100.00"
"Classifications","Priority / Medium(Value/Story point%)","100.00"
"Classifications","Partner / None(Value/Cards count%)","100.00"
"Classifications","Partner / None(Value/Story point%)","100.00"
"Classifications","Labels / None(Value/Cards count%)","100.00"
"Classifications","Labels / None(Value/Story point%)","100.00"
"Classifications","Time tracking / None(Value/Cards count%)","100.00"
"Classifications","Time tracking / None(Value/Story point%)","100.00"
"Classifications","Story point estimate / 1.0(Value/Cards count%)","100.00"
"Classifications","Story point estimate / 1.0(Value/Story point%)","100.00"
"Classifications","QA / None(Value/Cards count%)","100.00"
"Classifications","QA / None(Value/Story point%)","100.00"
"Classifications","Feature/Operation / None(Value/Cards count%)","100.00"
"Classifications","Feature/Operation / None(Value/Story point%)","100.00"
"Classifications","Assignee / YinYuan Zhou(Value/Cards count%)","100.00"
"Classifications","Assignee / YinYuan Zhou(Value/Story point%)","100.00"
"Rework","Total rework times","0"
"Rework","Total rework cards","0"
"Rework","Rework cards ratio(Total rework cards/Throughput%)","0"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","0.40"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployment times)","2"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","3.90"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.44"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","4.33"
"Pipeline change failure rate","Heartbeat / Deploy prod / Pipeline change failure rate(%)","33.33"
"Pipeline mean time to recovery","Heartbeat / Deploy prod / Pipeline mean time to recovery","0.02"
