"Group","Metrics","Value"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","0.60"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployment times)","6"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","4.66"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.41"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","5.06"
"Lead time for changes","MYOB-Technology / AD-Framework / PR Lead Time","0"
"Lead time for changes","MYOB-Technology / AD-Framework / Pipeline Lead Time","0"
"Lead time for changes","MYOB-Technology / AD-Framework / Total Lead Time","0"
"Lead time for changes","Average / PR Lead Time","2.33"
"Lead time for changes","Average / Pipeline Lead Time","0.20"
"Lead time for changes","Average / Total Lead Time","2.53"
"Pipeline change failure rate","Heartbeat / Deploy prod / Pipeline change failure rate(%)","14.29"
"Pipeline mean time to recovery","Heartbeat / Deploy prod / Pipeline mean time to recovery","25.63"
