"Organization","Pipeline Name","Repo Name","Pipeline Step","Valid","Build Number","Pull Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Run e2e","false","4240",,"Zhongren GU","heartbeat-user",,,,,,,"2024-08-27T15:40:47.556Z","0",,,,"passed","main",""
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4230","1589","zhou-yinyuan",,"2024-08-26T01:56:02Z","2024-08-26T01:56:46Z","2024-08-26T02:02:59Z",,"2024-08-26T02:26:28Z","2024-08-26T02:02:59Z","2024-08-26T02:26:56.722Z","0","0:30:54","0:6:57","0:23:57","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Run e2e","false","4221",,"Unknown","heartbeat-user",,,,,,,"2024-08-25T00:49:05.117Z","0",,,,"failed","main",""
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Run e2e","false","4207",,"zhou-yinyuan",,,,,,,,"2024-08-21T09:48:48.575Z","0",,,,"passed","main",""
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4201","1583","zhou-yinyuan",,"2024-08-21T03:04:10Z","2024-08-21T03:04:36Z","2024-08-21T03:16:16Z",,"2024-08-21T03:39:02Z","2024-08-21T03:16:16Z","2024-08-21T03:39:31.606Z","0","0:35:21","0:12:6","0:23:15","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4197","1582","zhou-yinyuan",,"2024-08-20T01:58:55Z","2024-08-20T01:59:41Z","2024-08-20T09:34:31Z",,"2024-08-20T10:02:47Z","2024-08-20T09:34:31Z","2024-08-20T10:03:29.671Z","0","8:4:34","7:35:36","0:28:58","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Run e2e","false","4188",,"renovate[bot]",,,,,,,,"2024-08-20T00:53:29.705Z","0",,,,"passed","main",""
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4185","1579","zhou-yinyuan",,"2024-08-16T09:34:03Z","2024-08-16T09:34:35Z","2024-08-16T09:42:39Z",,"2024-08-16T10:05:48Z","2024-08-16T09:42:39Z","2024-08-16T10:06:16.456Z","0","0:32:13","0:8:36","0:23:37","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4183","1578","zhou-yinyuan",,"2024-08-16T09:11:02Z","2024-08-16T09:11:32Z","2024-08-16T09:16:37Z",,"2024-08-16T09:40:33Z","2024-08-16T09:16:37Z","2024-08-16T09:41:01.451Z","0","0:29:59","0:5:35","0:24:24","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Deploy prod","true","4181","1577","zhou-yinyuan","heartbeat-user","2024-08-15T07:40:45Z","2024-08-15T07:41:18Z","2024-08-16T03:27:54Z",,"2024-08-16T03:50:27Z","2024-08-16T03:27:54Z","2024-08-16T03:50:58.880Z","0","20:10:13","19:47:9","0:23:4","passed","main","false"
"Heartbeat-backup","Heartbeat","au-heartbeat/Heartbeat",":rocket: Run e2e","false","4175",,"guzhongren",,,,,,,,"2024-08-15T00:54:47.563Z","0",,,,"passed","main",""
