"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","14.0"
"Velocity","Throughput(Cards Count)","6"
"Cycle time","Average cycle time(days/storyPoint)","0.79"
"Cycle time","Average cycle time(days/card)","1.84"
"Cycle time","Total development time / Total cycle time(%)","55.02"
"Cycle time","Total review time / Total cycle time(%)","0.81"
"Cycle time","Total waiting for testing time / Total cycle time(%)","1.63"
"Cycle time","Total testing time / Total cycle time(%)","42.53"
"Cycle time","Average development time(days/storyPoint)","0.43"
"Cycle time","Average development time(days/card)","1.01"
"Cycle time","Average review time(days/storyPoint)","0.01"
"Cycle time","Average review time(days/card)","0.02"
"Cycle time","Average waiting for testing time(days/storyPoint)","0.01"
"Cycle time","Average waiting for testing time(days/card)","0.03"
"Cycle time","Average testing time(days/storyPoint)","0.34"
"Cycle time","Average testing time(days/card)","0.78"
"Classifications","Issue Type / Bug(Value/Cards count%)","33.33"
"Classifications","Issue Type / Bug(Value/Story point%)","35.71"
"Classifications","Issue Type / Story(Value/Cards count%)","66.67"
"Classifications","Issue Type / Story(Value/Story point%)","64.29"
"Classifications","Parent / ADM-322(Value/Cards count%)","66.67"
"Classifications","Parent / ADM-322(Value/Story point%)","57.14"
"Classifications","Parent / ADM-319(Value/Cards count%)","33.33"
"Classifications","Parent / ADM-319(Value/Story point%)","42.86"
"Classifications","Story testing-2 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-2 / None(Value/Story point%)","100.00"
"Classifications","Story testing-1 / None(Value/Cards count%)","100.00"
"Classifications","Story testing-1 / None(Value/Story point%)","100.00"
"Classifications","Design / None(Value/Cards count%)","100.00"
"Classifications","Design / None(Value/Story point%)","100.00"
"Classifications","Vulnerability / None(Value/Cards count%)","100.00"
"Classifications","Vulnerability / None(Value/Story point%)","100.00"
"Classifications","Sprint / Sprint42(Value/Cards count%)","100.00"
"Classifications","Sprint / Sprint42(Value/Story point%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Cards count%)","100.00"
"Classifications","Project / Auto Dora Metrics(Value/Story point%)","100.00"
"Classifications","Flagged / None(Value/Cards count%)","100.00"
"Classifications","Flagged / None(Value/Story point%)","100.00"
"Classifications","Fix versions / None(Value/Cards count%)","100.00"
"Classifications","Fix versions / None(Value/Story point%)","100.00"
"Classifications","Priority / Medium(Value/Cards count%)","100.00"
"Classifications","Priority / Medium(Value/Story point%)","100.00"
"Classifications","Partner / None(Value/Cards count%)","100.00"
"Classifications","Partner / None(Value/Story point%)","100.00"
"Classifications","Labels / None(Value/Cards count%)","100.00"
"Classifications","Labels / None(Value/Story point%)","100.00"
"Classifications","Time tracking / None(Value/Cards count%)","100.00"
"Classifications","Time tracking / None(Value/Story point%)","100.00"
"Classifications","Story point estimate / 1.0(Value/Cards count%)","16.67"
"Classifications","Story point estimate / 1.0(Value/Story point%)","7.14"
"Classifications","Story point estimate / 2.0(Value/Cards count%)","33.33"
"Classifications","Story point estimate / 2.0(Value/Story point%)","28.57"
"Classifications","Story point estimate / 3.0(Value/Cards count%)","50.00"
"Classifications","Story point estimate / 3.0(Value/Story point%)","64.29"
"Classifications","QA / None(Value/Cards count%)","100.00"
"Classifications","QA / None(Value/Story point%)","100.00"
"Classifications","Feature/Operation / None(Value/Cards count%)","100.00"
"Classifications","Feature/Operation / None(Value/Story point%)","100.00"
"Classifications","Assignee / YinYuan Zhou(Value/Cards count%)","100.00"
"Classifications","Assignee / YinYuan Zhou(Value/Story point%)","100.00"
"Rework","Total rework times","0"
"Rework","Total rework cards","0"
"Rework","Rework cards ratio(Total rework cards/Throughput%)","0"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","1.83"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployment times)","11"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","13.19"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.47"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","13.66"
"Pipeline change failure rate","Heartbeat / Deploy prod / Pipeline change failure rate(%)","0"
"Pipeline mean time to recovery","Heartbeat / Deploy prod / Pipeline mean time to recovery","0"
