"Organization","Pipeline Name","Repo Name","Pipeline Step","Valid","Build Number","Pull Number","Code Committer","Build Creator","First Code Committed Time In PR","PR Created Time","PR Merged Time","No PR Committed Time","Job Start Time","Pipeline Start Time","Pipeline Finish Time","Non-Workdays (Hours)","Total Lead Time (HH:mm:ss)","PR Lead Time (HH:mm:ss)","Pipeline Lead Time (HH:mm:ss)","Status","Branch","Revert"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4173","1576","zhou-yinyuan",,"2024-08-14T07:07:54Z","2024-08-14T09:21:18Z","2024-08-14T09:29:12Z",,"2024-08-14T09:52:23Z","2024-08-14T09:29:12Z","2024-08-14T09:52:49.797Z","0","2:44:55","2:21:18","0:23:37","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4170","1575","zhou-yinyuan",,"2024-08-14T07:07:54Z","2024-08-14T07:08:40Z","2024-08-14T07:13:45Z",,"2024-08-14T07:37:14Z","2024-08-14T07:13:45Z","2024-08-14T07:37:42.686Z","0","0:29:48","0:5:51","0:23:57","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4168","1574","zhou-yinyuan",,"2024-08-14T02:18:08Z","2024-08-14T02:18:46Z","2024-08-14T02:25:41Z",,"2024-08-14T02:51:00Z","2024-08-14T02:25:41Z","2024-08-14T02:51:29.410Z","0","0:33:21","0:7:33","0:25:48","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4165","1573","zhou-yinyuan",,"2024-08-12T02:58:15Z","2024-08-13T06:09:53Z","2024-08-13T07:00:49Z",,"2024-08-13T07:28:33Z","2024-08-13T07:00:49Z","2024-08-13T07:29:05.011Z","0","28:30:50","28:2:34","0:28:16","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4162","1572","zhou-yinyuan",,"2024-08-12T02:58:15Z","2024-08-12T02:59:01Z","2024-08-13T05:56:53Z",,"2024-08-13T06:24:55Z","2024-08-13T05:56:53Z","2024-08-13T06:25:32.138Z","0","27:27:17","26:58:38","0:28:39","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4153","1571","zhou-yinyuan",,"2024-08-09T03:54:06Z","2024-08-09T07:16:19Z","2024-08-12T01:08:39Z",,"2024-08-12T01:36:41Z","2024-08-12T01:08:39Z","2024-08-12T01:37:13.163Z","48","21:43:7","21:14:33","0:28:34","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4149","1568","zhou-yinyuan",,"2024-08-07T07:23:20Z","2024-08-07T07:24:09Z","2024-08-09T02:49:23Z",,"2024-08-09T03:19:19Z","2024-08-09T02:49:23Z","2024-08-09T03:19:50.023Z","0","43:56:30","43:26:3","0:30:27","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4142","1570","Unknown","heartbeat-user","2024-08-08T06:15:41Z","2024-08-08T06:16:10Z","2024-08-08T06:22:15Z",,"2024-08-08T07:15:18Z","2024-08-08T06:22:15Z","2024-08-08T07:15:45.521Z","0","1:0:4","0:6:34","0:53:30","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4140","1570","zhou-yinyuan",,"2024-08-08T06:15:41Z","2024-08-08T06:16:10Z","2024-08-08T06:22:15Z",,"2024-08-08T07:15:18Z","2024-08-08T06:22:15Z","2024-08-08T06:46:47.388Z","0","1:0:4","0:6:34","0:53:30","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4134","1569","zhou-yinyuan",,"2024-08-08T02:19:39Z","2024-08-08T02:20:19Z","2024-08-08T02:29:09Z",,"2024-08-08T02:50:46Z","2024-08-08T02:29:09Z","2024-08-08T02:51:13.224Z","0","0:31:34","0:9:30","0:22:4","passed","main","false"
"Heartbeat-backup","Heartbeat",,":rocket: Deploy prod","true","4131","1567","zhou-yinyuan",,"2024-08-07T03:08:11Z","2024-08-07T03:08:41Z","2024-08-08T01:33:15Z",,"2024-08-08T01:54:28Z","2024-08-08T01:33:15Z","2024-08-08T01:54:57.059Z","0","22:46:46","22:25:4","0:21:42","passed","main","false"
